[STRING]
String = 12000,Hac Long Giang
String = 15815,适合女性用的双手钢针，防不胜防。\nVu +4，Tri +2，The +5，Ky +5
String = 15816,猛将所用的双手钢戟；时可狂暴杀敌\nVu +10，The +15
String = 15817,两支成双的圈刃；时可发出追踪光环退敌\nVu +8，Tri +2，The +5，Ky +5
String = 15818,蕴含仙气的双手圈刃；时可发出追踪光环退敌\nVu +12，Tri +2，The +20，Ky +10
String = 15819,锤上有凤凰装饰的双手锤；时可重击对手\nVu +16，The +30，Ky +15
String = 15820,蕴含两仪无极之力的双剑；经常以多重剑气斩杀敌兵\nVu +25，The +25，The +20，Ky +20
String = 15821,古代名匠所制之利剑，因可藏于鱼肚内而得名；时可贯穿多名敌兵\nVu +20，The +15，Ky +15
String = 15822,以苍穹为名，统御万物的帝王之剑；经常发动追踪剑气伤敌\nVu +30，The +30，Ky +20
String = 15823,传说中为黄帝的配剑，经常发动追踪剑气伤敌\nVu +50，Tri +15，The +100，Ky +70
String = 15824,海上男儿爱用的佩刀，可发动水柱退敌\nVu +6，Tri +2，The +10
String = 15825,异国的名刀，取名天羽以表其锋利；可以多重剑气退敌\nVu +7，Tri +2，The +8，Ky +8
String = 15826,篡国者自立为帝时的配剑；时可以动地之威伤敌\nVu +4，Tri +2，The +10，Ky +5
String = 15827,散发妖气的扇子，有反噬其主一说；可吸收对手The \nVu +4，Tri +5，The -20，Ky +10
String = 15828,妖灵附身的扇子，被此扇击伤者终将沦为行尸走肉。\nVu +7，Tri +5，The -15，Ky +15
String = 15829,闪烁五彩金光的宝扇，具有庇护拥有者的能力；可瞬间挪移多名敌兵\nVu +8，Tri +10，The +25，Ky +15
String = 15830,经炼狱之火所练成的魔刀，传闻为西楚霸王所有；可招换无数妖魂伤敌\nVu +40，Tri +2，The +80，Ky +70
String = 15831,绝代舞姬所持有的乐器，足以迷倒多人。\nVu +2，Tri +2
String = 15832,泰山府君的法杖，有掌握生死的能力。\nVu +25，Tri +25，The +80，Ky +50
String = 15833,传说中的英雄武器，具备撼动大地的力量。\n可经常性的给予对手重伤\nVu +50，The +60，Ky +40
String = 15850,不可思议的装备，上面还有怪异字样。
String = 15853,噬血的炼狱魔刀。\nVu +50，Tri +10，The +100，Ky +100
String = 15854,九天玄女的灵锤，能破邪除妖。\nVu +50，Tri +10，The +20，Ky +10
String = 15855,蕴含东方苍龙之力的神弓。\nVu +40，The +100
String = 15856,以龙筋为弦制成的龙形弓。\nVu +50，The +30
String = 15857,传说中至阳至刚的长枪。\nVu +50，Tri +25，The +100，Ky +100
String = 15858,蕴含破军神力的神兵大锤。\nVu +50，The +40
String = 15859,以陨石制成的火焰大锤。\nVu +50，The +30
String = 15860,由名匠精制的弓，蕴含著寒气。\nVu +45，The +30，Ky +10
String = 15861,上古传说中的神剑，名曰『含光』。\nVu +40，The +100
String = 15862,寄宿火神祝融之力的神刀。\nVu +50，The +100
String = 15863,情人节纪念坐骑。\nThe +50 Ky +100\nVu +12 \nToc +12
String = 15864,情人节纪念坐骑。\nThe +50 Ky +100\nVu +12 \nToc +12
String = 15865,邪马台的战马。\nThe +20 Ky +100\nVu +15 \nToc +12
String = 15866,罗马帝国的高级战马。\nThe +80 Ky +70\nVu +25 \nToc +15
String = 15867,以千年寒铁制成的冰弓。\nVu +30，Tri +10，The +100，Ky +100
String = 15868,蕴藏火神之力的灵弓。\nVu +40，The +100，Ky +100
String = 15869,以千年菩提树制成的圣弓。\nVu +25，The +25
String = 15870,天界雷神的武器，蕴含雷霆之威。\nVu +50，The +100，Ky +60
String = 15871,传说中以斩妖除魔为己任，玄天上帝持有的破邪灵杖。\nVu +35，Tri +50，The +100，Ky +100
String = 15872,上古封神战争遗留下来的天界法器。\nVu +45，Tri +50，The +50，Ky +60
String = 15873,从西域传来中土的破魔武器。\nVu +45，Tri +50，The +100
String = 15874,可爱的毛驴。\nThe +50 Ky +50
String = 15875,蛮族巫师骑乘用的凶猛山猪。\nTri +6，The +30，Ky +100
String = 15876,中秋节纪念坐骑。\nVu +3，Tri +3，The +80，Ky +55
String = 15877,记载如何锻造朝旭炙阳火尖枪的配方。
String = 15878,罗马将军使用的阔刃枪。\nVu +40，The +100
String = 15879,无价的神兵利器。\nVu +40，Tri +40，The +100
String = 15890,枪刃透出寒冽的杀意，为赵云所持有的爱枪。\nVu +55，The +100，Ky +50
String = 15891,以鹰羽所制成，为诸葛亮所佩带的羽扇。\nVu +25，Tri +50，The +50，Ky +100
String = 15892,2008奥运会纪念金币，注意收集，具体用途不明。
String = 15893,2008奥运会纪念银币，注意收集，具体用途不明。
String = 15894,太湖美人鱼随身携带之物。
String = 15895,制造特殊武器用的锻造书。
String = 15896,制造特殊武器用的锻造书。
String = 15897,带有妖气的南蛮剑。\nVu +35，Tri +25，Ky +10
String = 15898,雕工精细的南蛮剑。\nVu +32，Tri +10，The +30
String = 15899,传闻可招来雷电的宝剑。\nVu +38，The +40
String = 15900,古代御用之名刀。\nVu +25，The +90
String = 15901,形状特殊的南蛮刀。\nVu +33，The +50
String = 15902,传闻为马超所用过的长矛。\nVu +50，The +100
String = 15903,曾为鬼怪所使用的大刀，具有撕裂魂魄的能力。\nVu +35，The +45
String = 15904,传闻曾为项羽所持有，散发武者之气的大刀。\nVu +50，The +100
String = 15905,传说中为仙人所用的天界法器。\nVu +44，Tri +50，The +100，Ky +50
String = 15906,挥舞起来如飞龙在天、虎啸生风般威武的武术用长棍。\nVu +40，Tri +28，The +100
String = 15907,锻入少量的刑天所用的武器碎片，棍身雕工细致。\nVu +42，The +100，Ky +100
String = 15908,曾为张角所使用，传闻具有操纵天象的异能。\nVu +45，Tri +45，The +100，Ky +100
String = 15909,曾为水镜先生所持有，能化解凶象，招来天运。\nVu +40，Tri +50，The +100，Ky +100
String = 15910,蕴含祝融之火的圣弓。\nVu +48，The +20
String = 15911,中秋节纪念坐骑。\nVu +3，Tri +3，The +80，Ky +55
String = 16000,精简版物品说明
String = 16001,【消耗】仙人用来控制机关木人的法器，可使用木人。
String = 16002,【消耗】仙人操纵死尸时所用的符咒，可使用尸兵。
String = 16003,【消耗】授予特殊任务时所用的机密文书，可使用忍者。
String = 16004,【消耗】象征倭国朝廷权威的信物，可使用浪人。
String = 16005,【消耗】北方匈奴号召族人的工具，可使用匈奴兵。
String = 16006,【消耗】太平道信徒自制的兵符，可使用黄巾兵。
String = 16007,【消耗】大汉朝廷授予武将的兵符，可使用投石车。
String = 16008,【消耗】大汉朝廷授予武将的兵符，可使用弩车。
String = 16009,【消耗】从南蛮地方传来的特殊兵符，可使用野兽兵。
String = 16010,【消耗】大汉朝廷授予武将的兵符，可使用女兵。
String = 16011,【消耗】从南蛮地方传来的特殊兵符，可使用蛮兵。
String = 16012,【消耗】大汉朝廷授予武将的兵符，可使用轻骑兵。
String = 16013,【消耗】大汉朝廷授予武将的兵符，可使用弩兵。
String = 16014,【消耗】大汉朝廷授予武将的兵符，可使用短枪兵。
String = 16015,【消耗】大汉朝廷授予武将的兵符，可使用短弓兵。
String = 16016,【消耗】大汉朝廷授予武将的兵符，可使用轻步兵。
String = 16017,【消耗】记载箭矢之阵的兵书。
String = 16018,【消耗】记载天地之阵的上级兵书。
String = 16019,【消耗】记载翔鹰之阵的兵书。
String = 16020,【消耗】记载雁形之阵的兵书。
String = 16021,【消耗】记载锥形之阵的兵书。
String = 16022,【消耗】记载钩形之阵的兵书。
String = 16023,【消耗】记载圆形之阵的兵书。
String = 16024,【消耗】记载方形之阵的兵书。
String = 16025,【消耗】Trung +30
String = 16026,【消耗】Trung +25
String = 16027,【消耗】Trung +20
String = 16028,【消耗】Trung +15
String = 16029,【消耗】Trung +10
String = 16030,【消耗】Trung +5
String = 16031,【消耗】Tri +1
String = 16032,【消耗】Vu +1
String = 16033,【消耗】Ky +5
String = 16034,【消耗】Ky +2
String = 16035,【消耗】The +5
String = 16036,【消耗】The +2
String = 16037,40级【剑】The +20 Ky +20\nVu +18
String = 16038,40级【剑】The +20 Ky +20\nVu +18
String = 16039,30级【剑】The +20 Ky +20\nVu +18  Tri +1
String = 16040,29级【剑】The +10 Ky +10\nVu +16
String = 16041,25级【剑】The +10 Vu +16
String = 16042,25级【剑】The +10 Ky +5\nVu +14
String = 16043,23级【剑】Ky +5 Vu +13
String = 16044,22级【剑】Vu +13
String = 16045,22级【剑】The +5 Vu +12
String = 16046,21级【剑】Ky +5 Vu +11
String = 16047,21级【剑】The +5 Vu +11
String = 16048,18级【剑】Vu +11
String = 16049,15级【剑】Vu +10
String = 16050,15级【剑】Vu +8  Tri +1
String = 16051,13级【剑】Vu +8
String = 16052,11级【剑】Vu +7
String = 16053,11级【剑】Vu +8  Tri -2
String = 16054,9级【剑】Vu +7  Tri -2
String = 16055,9级【剑】Vu +6 
String = 16056,6级【剑】Vu +5
String = 16057,5级【剑】Vu +4
String = 16058,4级【剑】Vu +2  Tri +1
String = 16059,4级【剑】Vu +3
String = 16060,1级【剑】Vu +1
String = 16061,1级【剑】Vu +1
String = 16062,22级【扇】The +5\nVu +10  Tri +10
String = 16063,20级【扇】Vu +9  Tri +9
String = 16064,16级【扇】The +10\nVu +8  
String = 16065,16级【扇】Vu +8  Tri +8
String = 16066,12级【扇】Vu +7
String = 16067,12级【扇】Vu +6  Tri +6
String = 16068,8级【扇】The +10\nVu +5
String = 16069,8级【扇】Vu +5  Tri +5
String = 16070,5级【扇】Vu +4  Tri +4
String = 16071,29级【大刀】The +20\n Ky +5  Vu +18
String = 16072,26级【大刀】The +5 Ky +5\nVu +18
String = 16073,24级【大刀】Vu +17
String = 16074,22级【大刀】Vu +17  Tri -4
String = 16075,22级【大刀】Vu +16  Tri -3
String = 16076,20级【大刀】Vu +15  Tri -3
String = 16077,20级【大刀】Vu +14  Tri -1
String = 16078,18级【大刀】Vu +14  Tri -3
String = 16079,18级【大刀】Vu +13  Tri -2
String = 16080,15级【大刀】Vu +12  Tri -2
String = 16081,13级【大刀】Vu +11  Tri -3
String = 16082,13级【大刀】Vu +10  Tri -2
String = 16083,11级【大刀】Vu +10  Tri -4
String = 16084,11级【大刀】Vu +9  Tri -2
String = 16085,8级【大刀】Vu +8  Tri -2
String = 16086,8级【大刀】Vu +7  Tri -1
String = 16087,6级【大刀】Vu +8  Tri -4
String = 16088,6级【大刀】Vu +7  Tri -2
String = 16089,4级【大刀】Vu +6  Tri -4
String = 16090,4级【大刀】Vu +5  Tri -4
String = 16091,2级【大刀】Vu +4  Tri -2
String = 16092,2级【大刀】Vu +3  Tri -1
String = 16093,1级【大刀】Vu +2  Tri -2
String = 16094,29级【枪】The +10 Ky +10\nVu +18
String = 16095,28级【枪】Vu +17
String = 16096,25级【枪】The +10 Vu +17
String = 16097,23级【枪】Vu +14
String = 16098,23级【枪】The +10 Vu +13
String = 16099,22级【枪】Vu +13
String = 16100,18级【枪】The +10 Vu +10
String = 16101,18级【枪】Vu +11
String = 16102,16级【枪】Vu +10
String = 16103,16级【枪】The +10 Vu +9
String = 16104,15级【枪】Vu +9
String = 16105,13级【枪】Vu +9
String = 16106,13级【枪】The +10 Vu +7
String = 16107,11级【枪】Vu +7
String = 16108,11级【枪】The +10 Vu +6
String = 16109,9级【枪】Vu +6
String = 16110,7级【枪】Vu +5
String = 16111,7级【枪】The +5 Vu +4
String = 16112,6级【枪】Vu +4
String = 16113,6级【枪】The +5 Vu +3
String = 16114,4级【枪】Vu +3
String = 16115,4级【枪】The +5 Vu +2
String = 16116,3级【枪】Vu +3  Tri -2
String = 16117,3级【枪】Vu +2  Tri -1
String = 16118,2级【枪】Vu +2
String = 16119,2级【枪】The +5  Vu +1
String = 16120,1级【枪】Vu +1
String = 16122,18级【弓】Vu +9  Toc +1
String = 16123,12级【弓】Vu +6  Toc +1
String = 16124,10级【弓】Vu +6  
String = 16125,8级【弓】Vu +5
String = 16126,7级【弓】Vu +4
String = 16127,5级【弓】Vu +3
String = 16128,3级【弓】Vu +2
String = 16129,1级【弓】Vu +1
String = 16132,30级【座骑】The +50\nKy +50 Vu +20 Tri +20 Toc +7
String = 16133,30级【座骑】The +20\nKy +20 Vu +10 Tri +20 Toc +8
String = 16134,30级【座骑】Ky +50\nTri +20  Toc +7
String = 16135,30级【座骑】The +40\nTri +10  Toc +7
String = 16136,30级【座骑】The +10\nVu +25  Toc +7
String = 16137,30级【座骑】The +20\nToc +8
String = 16138,27级【座骑】The +15 Ky +10\nToc +7
String = 16139,25级【座骑】The +15  Toc +7
String = 16140,25级【座骑】Vu +6  Toc +7
String = 16141,25级【座骑】The +5\nVu +5  Toc +7
String = 16142,25级【座骑】The +15  Toc +7
String = 16143,22级【座骑】The +30  Ky +20\nToc -1
String = 16144,20级【座骑】The +30\nToc -1
String = 16145,20级【座骑】The +10\nTri +10  Toc +5
String = 16146,20级【座骑】The +12\nToc +6
String = 16147,18级【座骑】Vu +6  Toc +5
String = 16148,15级【座骑】The +8\nToc +5
String = 16149,10级【座骑】The +8\nToc +4
String = 16150,10级【座骑】The +3  Ky +3\nVu +1  Tri +1  Toc +4
String = 16151,10级【座骑】The +8\nVu +1  Toc +4
String = 16152,8级【座骑】The +5\nVu +3  Toc +3
String = 16153,8级【座骑】The +15\nToc -1
String = 16154,5级【座骑】The +5\nToc +3
String = 16155,2级【座骑】The +5\nToc +2
String = 16156,1级【座骑】Toc +1
String = 16165,20级【道具】华陀穷毕生之力撰写的医书。The +50
String = 16166,10级【道具】记载西蜀地形的地图全集。The +35
String = 16167,50级【道具】来自两千年后的奇物。Tri +30
String = 16168,40级【道具】来自两千年后的奇物。Tri +20
String = 16169,20级【道具】古代流传下来的兵法书。Tri +10
String = 16170,15级【道具】曹操及门客撰写的兵法书。Tri +8
String = 16171,10级【道具】西汉史官司马迁著作的史书。Tri +5
String = 16172,5级【道具】春秋战国流传下来的古籍。Tri +3
String = 16173,5级【道具】讲解如何以法术使用火计的术法书。
String = 16174,10级【道具】记载赤焰术最高秘法‘赤焰火海’的上级术法书。
String = 16175,5级【道具】讲解如何以弩车进行作战的兵法书。
String = 16176,10级【道具】记载连弩最高秘诀‘连弩狂涛’的上级兵法书。
String = 16177,8级【道具】讲解如何以火箭弓兵进行作战的兵法书。
String = 16178,16级【道具】记载火箭最高秘诀‘火箭天袭’的上级兵法书。
String = 16179,15级【道具】讲解如何以龙炮进行作战的兵法书。
String = 16180,20级【道具】记载龙炮最高秘诀‘冲射龙炮’的上级兵法书。
String = 16181,15级【道具】讲解如何以投石车进行作战的兵法书。
String = 16182,20级【道具】记载炬石最高秘诀‘炬石炼狱’的上级兵法书。
String = 16183,12级【道具】讲解如何以火轮发动奇袭的兵法书。
String = 16184,16级【道具】记载火轮最高秘诀‘火轮涛杀’的上级兵法书。
String = 16185,12级【道具】讲解如何以滚石发动奇袭的兵法书。
String = 16186,16级【道具】记载滚石最高秘诀‘滚石怒冲’的上级兵法书。
String = 16187,8级【道具】讲解如何以法术引发地下喷泉的术法书。
String = 16188,13级【道具】记载地泉术最高秘法‘地泉鲸浪’的上级术法书。
String = 16189,8级【道具】讲解如何设计地茅机关的兵法书。
String = 16190,13级【道具】记载地茅刺最高秘诀‘茅刺遍地’的上级兵法书。
String = 16191,10级【道具】讲解如何以法术制造突石的术法书。
String = 16192,15级【道具】记载突石术最高秘法‘突石四方’的上级术法书。
String = 16193,25级【道具】制造炎墙时不可或缺的火药。
String = 16194,31级【道具】制造大范围炎墙时必备的火药桶。
String = 16195,15级【道具】施展集火柱之术时所用的符咒。
String = 16196,20级【道具】施展强火柱之术时所用的符咒。
String = 16197,10级【道具】施展太极门之术时所用的法印。
String = 16198,15级【道具】施展太极华阵之术时所用的法印。
String = 16199,22级【道具】讲解如何施展八卦之术的术法书。
String = 16200,25级【道具】记载八卦阵最高秘法‘八卦六角阵’的上级术法书。
String = 16201,15级【道具】讲解如何引发雷击的术法书。
String = 16202,25级【道具】记载雷击术最高秘法‘雷击燋狱’的上级术法书。
String = 16203,15级【道具】讲解如何引发五雷轰顶的术法书。
String = 16204,20级【道具】记载五雷术最高秘法‘狂雷天牢’的上级术法书。
String = 16205,12级【道具】讲解如何安排伏兵的兵法书。
String = 16206,18级【道具】记载伏兵连阵最高秘诀‘伏兵排阵’的上级兵法书。
String = 16207,12级【道具】讲解如何安排伏兵于敌后方的兵法书。
String = 16208,18级【道具】记载后伏连阵最高秘诀‘后伏排阵’的上级兵法书。
String = 16209,32级【道具】讲解如何使用轒辒车进行作战的兵法书。
String = 16210,37级【道具】记载伏轒辒车最高秘诀‘驷轒辒车??的上级兵法书。
String = 16211,32级【道具】讲解如何驱使悬浮火灯的术法书。
String = 16212,37级【道具】记载旋灯术最高秘法‘旋灯怒张’的上级术法书。
String = 16213,20级【道具】讲解如何驱使爆裂飞灯的术法书。
String = 16214,30级【道具】记载莲华术最高秘法‘莲华轰天’的上级术法书。
String = 16215,15级【道具】讲解如何引发龙卷风的术法书。
String = 16216,20级【道具】记载旋风术最高秘法‘龙卷旋风’的上级术法书。
String = 16217,10级【道具】进行突击作战时，用来振奋军心的战鼓。
String = 16218,15级【道具】决心背水一战时，用来激化士气的战鼓。
String = 16219,10级【道具】讲解如何利用火牛阵进行作战的兵法书。
String = 16220,15级【道具】记载火牛阵最高秘诀‘火牛烈崩’的上级兵法书。
String = 16221,25级【道具】攻城用的冲车。
String = 16222,30级【道具】冲锋作战时不可或缺的冲车部队。
String = 16223,25级【道具】召唤尸鬼的法器。
String = 16224,30级【道具】召唤大规模尸鬼军队时必备的法器。
String = 16225,30级【道具】会喷火的炎兽像。
String = 16226,35级【道具】能自动进行喷火攻击的机关怪兽。
String = 16227,10级【道具】讲解如何利用野兽进行作战的兵法书。
String = 16228,15级【道具】记载驱豹最高秘诀‘驱豹突击’的上级兵法书。
String = 16229,20级【道具】讲解如何利用神鸢进行作战的兵法书。
String = 16230,30级【道具】记载神鸢最高秘诀‘神鸢空袭’的上级兵法书。
String = 16231,25级【道具】可搭载弓箭兵的塔车。
String = 16232,35级【道具】可搭载大量弓箭兵的井阑部队。
String = 16233,40级【道具】使用时间之术‘八门金锁’所需的法器。
String = 16234,30级【道具】来自黄泉国的宝珠。
String = 16235,35级【道具】可打开冥府之门的宝珠。
String = 16236,20级【道具】用来疗伤的法器。
String = 16237,25级【道具】用来疗伤的高级法器。
String = 16238,15级【道具】可同时治疗数人的法器。
String = 16239,20级【道具】可同时治疗数人的高级法器。
String = 16240,37级【道具】召唤天龙的古铜镜。
String = 16241,37【道具】召唤地脉之气的古铜镜。
String = 16242,37级【道具】呼唤流星的媒介。
String = 16243,20级【道具】讲解如何操作浮游雷弹的术法书。
String = 16244,30级【道具】记载浮雷术最高秘法‘浮雷光阵’的上级术法书。
String = 16245,20级【道具】外观邪恶且嗜人血的大盾。
String = 16246,25级【道具】被恶灵附身的大盾，可防御任何攻击。
String = 16247,20级【道具】??唤神兽‘麒麟’的神??。
String = 16248,20级【道具】召唤神兽‘青龙’的神器。
String = 16249,20级【道具】召唤神兽‘玄武’的神器。
String = 16250,20级【道具】召唤神兽‘白虎’的神器。
String = 16251,20级【道具】召唤神兽‘朱雀’的神器。
String = 16252,20级【道具】人形的纸符。
String = 16253,25级【道具】可变化成敌士兵的人形纸符。
String = 16254,20级【道具】记载土遁之术的忍术卷轴。
String = 16255,25级【道具】记载土遁之秘奥义‘土遁隐杀’的高级卷轴。
String = 16256,15级【道具】记载火雷玉之术的忍术卷轴。
String = 16257,20级【道具】记载火雷玉之秘奥义‘火雷鬼玉破’的高级卷轴。
String = 16258,20级【道具】记载忍镖之术的忍术卷轴。
String = 16259,25级【道具】记载忍镖之秘奥义‘隐忍镖阵’的高级卷轴。
String = 16260,【道具】记载隐分身之术的忍术卷轴。
String = 16261,【道具】记载隐分身之秘奥义‘木忍隐分身’的高级卷轴。
String = 16262,15级【道具】讲解如何召唤魔剑的密笈。
String = 16263,20级【道具】记载召唤至凶魔剑的绝世密笈。
String = 16264,15级【道具】讲解如何召唤圣剑的密笈。
String = 16265,20级【道具】记载召唤至高圣剑的绝世密笈。
String = 16266,20级【道具】可召引地龙的宝珠。
String = 16267,30级【道具】能自由操纵地龙的宝旗。
String = 16268,20级【道具】可召引火龙的宝珠。
String = 16269,30级【道具】能自由操纵地龙的宝旗。
String = 16270,20级【道具】可召引水龙的宝珠。
String = 16271,30级【道具】能自由操纵地龙的宝旗。
String = 16272,20级【道具】可召引风龙的宝珠。
String = 16273,30级【道具】能自由操纵地龙的宝旗。
String = 16274,18级【道具】敏捷的轻型机关车
String = 16275,22级【道具】彻底剖析龙牙车奥妙的图卷。
String = 16277,10级【道具】改变时间为白昼的法器。
String = 16278,10级【道具】改变时间为暗夜的法器。
String = 16279,10级【道具】用来呼风唤雨的法器。
String = 16280,10级【道具】用来召唤风雪的法器。
String = 16281,25级【道具】散发宜人香气，能加速集气的香炉。
String = 16282,25级【道具】散发恶心臭气，能减缓集气的香炉。
String = 16283,25级【道具】讲解如何预先积蓄气力的兵法书。
String = 16284,30级【道具】记载如何预先积蓄大量气力的兵法书。
String = 16285,22级【道具】记载如何善用天象，增加武将技威力的兵法书。
String = 16286,22级【道具】记载如何运用地形，增加士兵防御力的兵法书。
String = 16287,22级【道具】记载如何指挥士兵，增加士兵命中率的兵法书。
String = 16290,20级【道具】皇帝亲赐的战鼓，能提升武将战力。
String = 16291,20级【道具】记载着许多恶言恶语，可重创敌人的自信心。
String = 16292,20级【道具】鼓舞士气用的号角，声音相当宏亮。
String = 16293,20级【道具】记载昔日楚国乡土歌谣的书籍。
String = 16294,25级【道具】讲解如何削减敌士兵防御力的兵法书。
String = 16295,25级【道具】讲解如何提升我士兵防御力的兵法书。
String = 16296,25级【道具】讲解如何拖慢敌士兵速度的兵法书。
String = 16297,25级【道具】讲解如何加快我士兵速度的兵法书。
String = 16298,30级古代暴君的头骨，蕴含极深的怨念。
String = 16299,35级【道具】太古魔王蚩尤的头骨，迄今仍然诅咒着人世间。
String = 16300,30级【道具】西楚霸王项羽的头骨，蕴含霸者之气。
String = 16301,35级【道具】历代君王使用的玉玺，蕴含至高无上的秘力。
String = 16302,15级【道具】讲解如何截断敌军退路的兵法书。
String = 16303,15级【道具】讲解如何预留退路的兵法书。
String = 16304,5级【道具】讲解如何以拒鹿角进行作战的兵法书。
String = 16305,10级【道具】记载拒鹿角秘诀‘鹿角十重’的上级兵法书。
String = 16306,15级【道具】记载如何将拒鹿角运用得出神入化的上级兵法书。
String = 16307,5级【道具】讲解如何以火药桶设计陷阱的兵法书。
String = 16308,10级【道具】记载地雷最高‘地雷星火’的上级兵法书。
String = 16309,15级【道具】记载如何将地雷运用得出神入化的上级兵法书。
String = 16310,5级【道具】记载地钉之术的忍术卷轴。
String = 16311,10级【道具】记载地钉之秘奥义‘钢地钉阵’的高级卷轴。
String = 16312,15级【道具】记载地钉最高奥义的密传卷轴。
String = 16313,15级【道具】记载如何预先埋伏士兵的兵法书。
String = 16314,20级【道具】说明高段埋伏之法的上级兵法书。
String = 16315,15级【道具】记载如何在战前安排援军的兵法书。
String = 16316,20级【道具】说明高段安排援军之法的上级兵法书。
String = 16317,30级【道具】记载如何以术法操控敌军阵亡士兵的法书。
String = 16318,35级【道具】能操控阵亡敌兵为己用的灵符。
String = 16319,20级【道具】能操控大量阵亡敌兵为己用的符令。
String = 16320,25级【道具】说明封锁敌将必杀技，并解除我军封印的高等兵法书。
String = 16321,15级【道具】凶兽饕餮的牙齿，能提升少许的杀气。
String = 16322,20级【道具】凶兽饕餮的遗骨，能提升相当的杀气。
String = 16323,25级【道具】凶兽饕餮的尖角，能使我军武将充满杀气。
String = 16324,35级【道具】神秘的天书，能使技力消耗减半。
String = 16326,40级【道具】某仙人传世的天书，能使气力消耗减到最低。
String = 16327,15级【道具】方便隐藏的小箭，能趁人不备，伤人于无形。
String = 16328,15级【道具】具备增加经验累积之功效的神秘宝珠。
String = 16329,30级【道具】讲解如何煽动敌兵、使其反叛的兵法书。
String = 16330,25级【道具】讲解如何安定人心、使士兵忠贞不二的兵法书。
String = 16331,15级【道具】讲解如何堆筑石墙，阻挡敌军弩箭的兵法书。
String = 16332,15级【道具】讲解如何搭建拒马，阻挡敌军弩箭的兵法书。
String = 16333,15级【道具】讲解如何架设铁盾，阻挡敌军弩箭的兵法书。
String = 16334,15级【道具】记载如何消除敌军防御工事的兵法书。
String = 16335,20级【道具】能在战场上缓缓回复少许体力的神石。
String = 16336,25级【道具】能在战场上缓缓回复一些体力的神秘晶石。
String = 16337,15级【道具】能快速回复我军武将少量体力的石珠。
String = 16338,20级【道具】能快速回复我军武将一些体力的宝珠。
String = 16339,25级【道具】能快速回复我军武将大量体力的罕世神珠。
String = 16340,40级【道具】可瞬间消灭敌军一切陷阱的宝镜。
String = 16341,40级【道具】能使我军陷阱无法被侦查的宝物。
String = 16342,20级【道具】能映照敌将心思，学习敌军计策的宝镜。
String = 16343,37级【道具】可逆转乾坤，令文弱之人也能万夫莫敌的密宝。
String = 16346,15级【道具】能发射火球的兽形机关车。
String = 16347,25级【道具】彻底剖析铁兽车奥妙的图卷。
String = 16348,15级【道具】能发射大范围箭雨的小型楼塔。
String = 16349,25级【道具】彻底剖析箭楼奥妙的图卷。
String = 16350,15级【道具】相传由黄帝指南车改良而来的机关兵器。
String = 16351,25级【道具】彻底剖析铜人奥妙的图卷。
String = 16352,37级【道具】讲解破坏铁兽、箭楼、铜人的机关秘笈。
String = 16353,15级【道具】奇妙的自走机关牛，能提升速度。
String = 16354,15级【道具】奇妙的自走机关马，能提升速度。
String = 16366,有“三国群英传VII特典”字样的怪书，似乎能召唤出什么东西。
String = 16367,有“三国群英传百万套纪念特典”字样的怪书，似乎能召唤出什么东西。
String = 16371,【消耗】Vu +3 
String = 16372,【消耗】The +10  
String = 16373,【消耗】Tri +3
String = 16374,【消耗】Ky +10
String = 16375,【消耗】Trung +35
String = 16376,【消耗】Trung +40
String = 16377,【消耗】Trung +50
String = 16378,【消耗】Trung +80
String = 16382,70级【座骑】The +65\nKy +80 Vu +30 Tri +30 Toc +7
String = 16610,【配方】记载钢剑铸造法的书卷
String = 16611,【配方】记载戟刀铸造法的书卷
String = 16612,【配方】记载玄铁剑铸造法的书卷
String = 16613,【配方】记载真钢枪铸造法的书卷
String = 16614,【配方】记载赤霄铸造法的书卷
String = 16615,【配方】记载绝音弓铸造法的书卷
String = 16643,【配方】记载钢剑铸造法的书卷
String = 16644,【配方】记载不攻铸造法的书卷
String = 16645,【配方】记载戟刀铸造法的书卷
String = 16646,【配方】记载双刃刀铸造法的书卷
String = 16647,【配方】记载玄铁剑铸造法的书卷
String = 16648,【配方】记载玄铁剑铸造法的书卷
String = 16649,【配方】记载玄铁剑铸造法的书卷
String = 16650,【配方】记载玄铁剑铸造法的书卷
String = 16651,【配方】记载玄铁剑铸造法的书卷
String = 16652,【配方】记载玄铁剑铸造法的书卷
String = 16653,【配方】记载玄铁剑铸造法的书卷
String = 16654,【配方】记载玄铁剑铸造法的书卷
String = 16655,【配方】记载玄铁剑铸造法的书卷
String = 16656,【配方】记载玄铁剑铸造法的书卷
String = 16657,【配方】记载玄铁剑铸造法的书卷
String = 16658,【配方】记载玄铁剑铸造法的书卷
String = 16659,【配方】记载玄铁剑铸造法的书卷
String = 16660,【配方】记载玄铁剑铸造法的书卷
String = 16661,【配方】记载玄铁剑铸造法的书卷
String = 16662,【配方】记载玄铁剑铸造法的书卷
String = 16663,【配方】记载玄铁剑铸造法的书卷
String = 16664,【配方】记载玄铁剑铸造法的书卷
String = 16665,【配方】记载玄铁剑铸造法的书卷
String = 16666,【配方】记载玄铁剑铸造法的书卷
String = 16667,【配方】记载玄铁剑铸造法的书卷
String = 16668,【配方】记载玄铁剑铸造法的书卷
String = 16669,【配方】记载玄铁剑铸造法的书卷
